,ISIN,DESCRIZIONE,ULTIMO,CEDOLA,SCADENZA, ,Rendimento effettivo a scadenza lordo,Rendimento effettivo a scadenza netto
23,IT0005083057,"Btp Tf 3,25% St46 Eur",88.36,"1,625",01/09/2046,,4.11,"3,66"
25,IT0005094088,"Btp Tf 1,65% Mz32 Eur",90.34,"0,825",01/03/2032,,3.23,"3,01"
27,IT0005138828,"Btpi Tf 1,25% St32 Eur",99.5,"0,625",15/09/2032,,3.76,"3,04"
28,IT0005162828,"Btp Tf 2,7% Mz47 Eur",80.3,"1,35",01/03/2047,,4.11,"3,71"
30,IT0005177909,"Btp Tf 2,25% St36 Eur",86.83,"1,125",01/09/2036,,3.7,"3,39"
32,IT0005217390,"Btp Tf 2,8% Mz67 Eur",73.8,"1,40",01/03/2067,,4.16,"3,71"
33,IT0005240350,"Btp Tf 2,45% St33 Eur",93.2,"1,225",01/09/2033,,3.4,"3,08"
36,IT0005273013,"Btp Tf 3,45% Mz48 Eur",90.34,"1,725",01/03/2048,,4.15,"3,68"
38,IT0005321325,"Btp Tf 2,95% St38 Eur",91.06,"1,475",01/09/2038,,3.85,"3,45"
44,IT0005358806,"Btp Tf 3,35% Mz35 Eur",98.27,"1,675",01/03/2035,,3.61,"3,17"
45,IT0005363111,"Btp Tf 3,85% St49 Eur",95.66,"1,925",01/09/2049,,4.18,"3,67"
48,IT0005377152,"Btp Tf 3,1% Mz40 Eur",90.85,"1,55",01/03/2040,,3.95,"3,53"
50,IT0005387052,"Btpi Tf 0,4% Mg30 Eur",95.98,"0,20",15/05/2030,,3.56,"2,82"
53,IT0005398406,"Btp Tf 2,45% St50 Eur",73.9,"1,225",01/09/2050,,4.15,"3,77"
54,IT0005402117,"Btp Tf 1,45% Mz36 Eur",80.29,"0,725",01/03/2036,,3.68,"3,47"
55,IT0005403396,"Btp Tf 0,95% Ag30 Eur",89.81,"0,475",01/08/2030,,3.03,"2,89"
58,IT0005413171,"Btp Tf 1,65% Dc30 Eur",92.67,"0,825",01/12/2030,,3.08,"2,86"
59,IT0005415291,Btp Futura Lg30 Eur,91.13,"0,65",14/07/2030,,3.23,"3,04"
60,IT0005415416,"Btpi Tf 0,65% Mg26 Eur",99.88,"0,325",15/05/2026,,3.2,"1,14"
63,IT0005421703,"Btp Tf 1,8% Mz41 Eur",74.66,"0,90",01/03/2041,,4.0,"3,73"
64,IT0005422891,"Btp Tf 0,90% Ap31 Eur",87.88,"0,45",01/04/2031,,3.14,"3,01"
65,IT0005425233,"Btp Tf 1,7% St51 Eur",62.24,"0,85",01/09/2051,,4.08,"3,79"
67,IT0005433195,"Btp Tf 0,95% Mz37 Eur",73.43,"0,475",01/03/2037,,3.74,"3,6"
69,IT0005436693,"Btp Tf 0,6% Ag31 Eur",85.34,"0,30",01/08/2031,,3.17,"3,09"
70,IT0005436701,"Btpi Tf 0,15% Mg51 Eur",62.95,"0,075",15/05/2051,,4.31,"4,01"
72,IT0005438004,"Btpgreen 1,5%Ap45eur",65.85,"0,75",30/04/2045,,4.03,"3,78"
73,IT0005441883,"Btp Tf 2,15% Mz72 Eur",61.26,"1,075",01/03/2072,,4.03,"3,63"
74,IT0005442097,Btp Futura Ap37 Eur,76.52,"0,375",27/04/2037,,4.05,"3,82"
76,IT0005449969,"Btp Tf 0,95% Dc31 Eur",86.53,"0,475",01/12/2031,,3.21,"3,08"
78,IT0005466013,"Btp Tf 0,95% Gn32 Eur",85.33,"0,475",01/06/2032,,3.27,"3,13"
79,IT0005466351,Btp Futura Nv33 Eur,84.19,"0,375",16/11/2033,,3.6,"3,4"
81,IT0005480980,"Btp Tf 2,15% St52 Eur",67.94,"1,075",01/09/2052,,4.15,"3,8"
82,IT0005482994,"Btpi Tf 0,1% Mg33 Eur",88.6,"0,05",15/05/2033,,3.94,"3,49"
85,IT0005494239,"Btp Tf 2,5% Dc32 Eur",94.55,"1,25",01/12/2032,,3.33,"2,98"
87,IT0005496770,"Btp Tf 3,25% Mz38 Eur",94.4,"1,625",01/03/2038,,3.85,"3,42"
88,IT0005497000,Btp Italia Gn30 Eur,98.63,"0,80",28/06/2030,,3.01,"2,66"
131,IT0005588881,Btpi Fx May36 Eur,99.06,"0,90",15/05/2036,,4.27,"3,77"
140,IT0005619546,Btp Fx 3.15% Nov31 Eur,99.54,"1,575",15/11/2031,,3.27,"2,86"
146,IT0005635583,Btp Fx 3.85% Oct40 Eur,98.42,"0,44423",01/10/2040,,4.04,"3,54"
